1377195353376616452,2021-03-31 09:45:33,practiceupdate,"Philadelphia, PA",Bacterial Superinfections Among Persons With Coronavirus Disease 2019 https://t.co/faFEITgvLs #covid19 #coronavirus,Sympathy and Support
1377195366832046082,2021-03-31 09:45:37,ACP_Vermont,"Vermont, USA",RT @nichtaufrezept: A burning question answered by @RitaRubin: How well do the #COVID19 #vaccines developed so far protect against these no…,Sympathy and Support
1377195367813500928,2021-03-31 09:45:37,RajuGentleman4,,"RT @EU_Partnerships: ""The #COVID19 pandemic has shown us the importance of migration for sustainable development, &amp; the value of migrants t…",Sympathy and Support
1377195373207425026,2021-03-31 09:45:38,IndiaToday18,DAMMAM ,"RT @samirsaran: #London records no #COVID19 deaths for first time in a month 

⁦@PMOIndia⁩ - please see the benefits of aggressive vaccinat…",Sympathy and Support
1377195391494463492,2021-03-31 09:45:43,DjSanjayrai,,RT @TheDailyPioneer: The Delhi Disaster Management Authority (DDMA) will conduct random COVID-19 test of passengers coming from states wher…,Sympathy and Support
1377195392060755968,2021-03-31 09:45:43,CathyGoodwin159,,"RT @TigressEllie: England 30th March  

Child Hospitalisations(Covid) rise to 5,414 a rise of 13 children admitted overnight

0-5      2737…",Sympathy and Support
1377195398553497603,2021-03-31 09:45:44,ashishp87145092,,"RT @DrGauravGarg4: The second #COVID19 wave in India is much worse than the first. Its slope is way steeper than the first wave. 
Some very…",Sympathy and Support
1377195412377993219,2021-03-31 09:45:48,dailypakistangl,"Lahore, Pakistan","#COVID19 – First shipment of 60,000 single-dose #CanSino vaccine arrives in #Pakistan https://t.co/TXwoXuG840 https://t.co/dHFUjHtvCV",Sympathy and Support
1377195417578967045,2021-03-31 09:45:49,eloquent37,,RT @NKUMEH: Femi Fani-Kayode former Minister for Aviation and PDP chieftain reportedly took a jab of the Oxford/AstraZeneca COVID19 vaccine…,Sympathy and Support
1377195420133306368,2021-03-31 09:45:49,TechnologyMaf,"Fort Lauderdale, FL","RT @DrTedros: The team visited several labs in Wuhan, #China and considered whether the #COVID19 virus entered the human population via a l…",Sympathy and Support
1377199396715134979,2021-03-31 10:01:37,meaapni,"Mid & East Antrim, N Ireland",@DannyDonnelly1 Big thanks Danny for supporting our efforts to keep older people across @mea_bc well fed during… https://t.co/AxeBRdWtJA,Sympathy and Support
1377199401228234752,2021-03-31 10:01:39,ECCHRBerlin,Berlin,RT @Voe_Blog: The effects created by #ClimateChange and the #COVID19 pandemic call for a 'new' human right to #RenewableEnergy to ensure sy…,Sympathy and Support
1377199427291656192,2021-03-31 10:01:45,NWRF2012,North Wales,"RT @TrafficWalesN: Please drive carefully to our beauty spots, mountains and lakes🏞️🗻 and avoid busy times whenever possible so that social…",Sympathy and Support
